Time,rx,ry,rz,vx,vy,vz
2017-01-09 16:42:30,-5563163.920787148,6691301.182586422,-3887853.983075263,-1209.995960310738,5546.783989628561,4635.907176457779
2017-01-09 16:43:00,-5598245.024682286,6856229.836694445,-3747409.8544880697,-1128.7139844554436,5448.125890260732,4726.198613922138
2017-01-09 16:43:30,-5630885.911392944,7018169.975074616,-3604332.050127736,-1047.3462105452809,5347.591010524381,4811.492536541312
2017-01-09 16:44:00,-5661086.760798462,7177068.980822298,-3458769.7873121537,-966.0732496744338,5245.423137085483,4891.839134099608
2017-01-09 16:44:30,-5688852.921394704,7332881.384755084,-3310870.529147884,-885.0599459561167,5141.855679232515,4967.304325283053
2017-01-09 16:45:00,-5714194.466797103,7485568.565164456,-3160779.556971862,-804.4560938172217,5037.111091481644,5037.967653907457
2017-01-09 16:45:30,-5737125.7472611535,7635098.40210836,-3008639.583982381,-724.3971681456959,4931.400491451221,5103.920366798123
2017-01-09 16:46:00,-5757664.976208034,7781444.942990034,-2854590.436354341,-645.0051047714334,4824.923449536043,5165.2636108891365
2017-01-09 16:46:30,-5775833.82317758,7924588.035869323,-2698768.7732389313,-566.3890643806317,4717.867909265388,5222.106808852295
2017-01-09 16:47:00,-5791657.059522904,8064513.005944019,-2541307.8708429607,-488.6462394153518,4610.410234043482,5274.566131400084
2017-01-09 16:47:30,-5805162.195835465,8201210.286722245,-2382337.4317323104,-411.8626087390112,4502.715342552335,5322.763157704211
2017-01-09 16:48:00,-5816379.168668692,8334675.099237335,-2221983.449247351,-336.11372119613156,4394.936941586371,5366.823623465724
2017-01-09 16:48:30,-5825340.029638259,8464907.103334256,-2060368.0936667395,-261.4654199199438,4287.217805590725,5406.876332774873
2017-01-09 16:49:00,-5832078.6721214,8591910.088264033,-1897609.6392318346,-187.9745736832446,4179.690125793687,5443.052158330977
2017-01-09 16:49:30,-5836630.567631148,8715691.651154647,-1733822.412995847,-115.68975600984633,4072.475885625306,5475.483174459832
2017-01-09 16:50:00,-5839032.5298605105,8836262.902674016,-1569116.772142134,-44.65190920563506,3965.6872755560858,5504.301878991036
2017-01-09 16:50:30,-5839322.493497232,8953638.1768568,-1403599.1008815535,25.10503226687782,3859.427124198873,5529.640517947386
2017-01-09 16:51:00,-5837539.314011759,9067834.757964944,-1237371.8273954291,93.55354947926858,3753.789342557503,5551.630494270179
2017-01-09 16:51:30,-5833722.58277527,9178872.621470897,-1070533.4569802443,160.67197527659593,3648.859383566659,5570.401856320887
2017-01-09 16:52:00,-5827912.460623056,9286774.180499565,-903178.6190667311,226.4439839120325,3544.7146764685594,5586.082864314634
2017-01-09 16:52:30,-5820149.523203651,9391564.057927927,-735398.1269542158,290.8580839108597,3441.425098473242,5598.799614676069
2017-01-09 16:53:00,-5810474.625260436,9493268.86829611,-567279.047635707,353.90716081304026,3339.053414482101,5608.675726824785
2017-01-09 16:53:30,-5798928.774807765,9591917.005044004,-398904.77979869,415.58805737507305,3237.6557020024306,5615.832087622834
2017-01-09 16:54:00,-5785553.018601259,9687538.450448703,-230355.13919699463,475.90116452964526,3137.2817907819235,5620.386639284019
2017-01-09 16:54:30,-5770388.345872871,9780164.591797879,-61706.44995789242,534.8500665029558,3037.9756493594577,5622.454210268651
2017-01-09 16:55:00,-5753475.5910554435,9869828.052878384,106968.36073155639,592.4411841739029,2939.775806241156,5622.146388018666
2017-01-09 16:55:30,-5734855.361504072,9956562.537762906,275599.66309587134,648.6834742821356,2842.7157019424185,5619.571417540624
2017-01-09 16:56:00,-5714567.9574811375,10040402.679660777,444121.02396579686,703.5881291705995,2746.8240718609654,5614.834140595515
2017-01-09 16:56:30,-5692653.316619541,10121383.909918701,612469.1036222554,757.1683171818678,2652.125274644052,5608.035948516326
2017-01-09 16:57:00,-5669150.952624681,10199542.327137535,780583.552196247,809.4389340802578,2558.6396297460046,5599.274768746336
2017-01-09 16:57:30,-5644099.910377876,10274914.584018698,948406.9056272322,860.4163806839776,2466.3837222935194,5588.645062841554
2017-01-09 16:58:00,-5617538.722891701,10347537.778398834,1115884.4819493196,910.1183584127033,2375.370696369712,5576.237845533018
2017-01-09 16:58:30,-5589505.373581455,10417449.353082174,1282964.278269455,958.5636811937434,2285.610534545952,5562.140718902532
2017-01-09 16:59:00,-5560037.269400737,10484687.008700604,1449596.8692711077,1005.7721072633146,2197.1103118470214,5546.437913442272
2017-01-09 16:59:30,-5529171.209085031,10549288.614071721,1615735.3063928091,1051.7641827273217,2109.8744473218453,5529.210349203987
2017-01-09 17:00:00,-5496943.3677676665,10611292.136798209,1781335.020051745,1096.5611028204778,2023.9049258806451,5510.535693658524
2017-01-09 17:00:30,-5463389.271514754,10670735.564006563,1946353.7219956166,1140.1845839792875,1939.2015202089876,5490.488440879092
2017-01-09 17:01:00,-5428543.795813924,10727656.854348771,2110751.313293456,1182.6567500980552,1855.7619799763067,5469.139975807109
2017-01-09 17:01:30,-5392441.148907407,10782093.872791281,2274489.7917116946,1224.0000289578998,1773.582223475601,5446.558661604644
2017-01-09 17:02:00,-5355114.851339589,10834084.321769528,2437533.158932041,1264.2370584334,1692.6565230405836,5422.809938141225
2017-01-09 17:02:30,-5316597.753346921,10883665.723523753,2599847.339243635,1303.390603306973,1612.9776494371297,5397.9563864026595
2017-01-09 17:03:00,-5276922.017188877,10930875.357335536,2761400.0919429413,1341.4834817006774,1534.5370318893013,5372.057832823211
2017-01-09 17:03:30,-5236119.117205917,10975750.222141461,2922160.929805454,1378.5384983042745,1457.3248976472883,5345.171439129178
2017-01-09 17:04:00,-5194219.852739618,11018327.019255739,3082101.0444619786,1414.5783835351313,1381.3303953670027,5317.351781295372
2017-01-09 17:04:30,-5151254.335781973,11058642.099084582,3241193.2246533027,1449.6257438982996,1306.5417217636266,5288.650955715479
2017-01-09 17:05:00,-5107252.0038431585,11096731.446803909,3399411.7860454773,1483.7030138137368,1232.946229280377,5259.11866109548
2017-01-09 17:05:30,-5062241.629462459,11132630.664616842,3556732.502688302,1516.8324140920909,1160.530526938321,5228.802283883537
2017-01-09 17:06:00,-5016251.315033945,11166374.931700451,3713132.5335859596,1549.0359199801414,1089.280577312499,5197.746997907861
2017-01-09 17:06:30,-4969308.511805538,11197999.00386836,3868590.36247652,1580.3352266348181,1019.1817815173059,5165.995840370665
2017-01-09 17:07:00,-4921440.026453096,11227537.194593303,4023085.73439451,1610.7517232365512,950.2190592633102,5133.589798602237
2017-01-09 17:07:30,-4872672.023385665,11255023.349410582,4176599.591239558,1640.3064728605686,882.3769227046844,5100.567899643633
2017-01-09 17:08:00,-4823030.045002962,11280490.851977201,4329114.019913105,1669.0201890924488,815.6395434608407,5066.967281722876
2017-01-09 17:08:30,-4772539.016648873,11303972.604989367,4480612.193674286,1696.913222244734,749.9908140157171,5032.823277962941
2017-01-09 17:09:00,-4721223.256401636,11325501.020148901,4631078.317974843,1724.0055465242217,685.4144040659379,4998.1694939453155
2017-01-09 17:09:30,-4669106.492563453,11345108.023155887,4780497.583928264,1750.3167463886932,621.8938127483561,4963.037876483438
2017-01-09 17:10:00,-4616211.869340089,11362825.038186533,4928856.115403895,1775.8660110435644,559.4124143774352,4927.458790382776
2017-01-09 17:10:30,-4562561.96125355,11378682.989182271,5076140.924182586,1800.6721266847107,497.95350183021003,4891.461085741925
2017-01-09 17:11:00,-4508178.787220415,11392712.301713511,5222339.867197271,1824.75347087134,437.5003258437102,4855.072163218419
2017-01-09 17:11:30,-4453083.816213552,11404942.88939492,5367441.59836587,1848.128013276063,378.0361278923187,4818.3180436189205
2017-01-09 17:12:00,-4397297.987587942,11415404.169588178,5511435.534811572,1870.8133096006402,319.54417505331986,4781.223423894309
2017-01-09 17:12:30,-4340841.72557687,11424125.069345087,5654311.820882951,1892.8265001038255,262.0077896736623,4743.811735251294
2017-01-09 17:13:00,-4283734.944392081,11431134.013006082,5796061.284500093,1914.184314854575,205.41037227831436,4706.105206064394
2017-01-09 17:13:30,-4225997.052110253,11436458.9068832,5936675.392165719,1934.9030807336085,149.73542142734857,4668.124923617692
2017-01-09 17:14:00,-4167646.9815114187,11440127.180895993,6076146.234346293,1954.9987131796715,94.96656259613296,4629.890873166828
2017-01-09 17:14:30,-4108703.1977655576,11442165.784011383,6214466.489658189,1974.4867224218933,41.08756518820454,4591.421992273007
2017-01-09 17:15:00,-4049183.6991344355,11442601.164864562,6351629.381938409,1993.3822252583614,-11.917647718119992,4552.736226704485
2017-01-09 17:15:30,-3989106.0364676174,11441459.292428154,6487628.658809025,2011.6999450204678,-64.06498012064257,4513.850572270095
2017-01-09 17:16:00,-3928487.3292276035,11438765.671107085,6622458.569451081,2029.4542141640657,-115.37014750009739,4474.781116735723
2017-01-09 17:16:30,-3867344.27389442,11434545.340021187,6756113.834908541,2046.6589822950793,-165.84866753830562,4435.543084510684
2017-01-09 17:17:00,-3805693.1468579234,11428822.859131493,6888589.610581224,2063.3278285424385,-215.51585640372073,4396.150882768896
2017-01-09 17:17:30,-3743549.826591759,11421622.340825964,7019881.477164973,2079.473960304004,-264.38681228932853,4356.61813393877
2017-01-09 17:18:00,-3680929.8031776166,11412967.453541227,7149985.416288483,2095.1102210886534,-312.4764090443381,4316.957714078375
2017-01-09 17:18:30,-3617848.1845930796,11402881.418094747,7278897.782384428,2110.249100984678,-359.7992940651664,4277.18179063339
2017-01-09 17:19:00,-3554319.707042384,11391387.013714317,7406615.281052727,2124.902744080007,-406.3698834353494,4237.3018566487535
2017-01-09 17:19:30,-3490358.7503972226,11378506.597439783,7533134.95707906,2139.0829518980768,-452.2023531100585,4197.32876103116
2017-01-09 17:20:00,-3425979.3467539013,11364262.107929733,7658454.173772333,2152.801192001151,-497.31063701138424,4157.27274030073
2017-01-09 17:20:30,-3361195.185644895,11348675.060995916,7782570.587187783,2166.068609290191,-541.708429561993,4117.143449796229
2017-01-09 17:21:00,-3296019.6279905145,11331766.56748363,7905482.135988218,2178.896030054417,-585.4091793263744,4076.9499904771897
2017-01-09 17:21:30,-3230465.7160100252,11313557.342143983,8027187.026457103,2191.293969077325,-628.4260873021303,4036.700935721837
2017-01-09 17:22:00,-3164546.1810068795,11294067.707488554,8147683.714693993,2203.272638341789,-670.7721080451325,3996.4043573704175
2017-01-09 17:22:30,-3098273.450156362,11273317.595064245,8266970.887321582,2214.84195643723,-712.4599524085322,3956.0678507098432
2017-01-09 17:23:00,-3031659.658974626,11251326.562878614,8385047.45485854,2226.0115527309645,-753.5020833727949,3915.6985569689355
2017-01-09 17:23:30,-2964716.659082604,11228113.80090392,8501912.537224567,2236.7907753618456,-793.9107178286524,3875.3031857521864
2017-01-09 17:24:00,-2897456.0245636357,11203698.132997302,8617565.447009673,2247.188700273206,-833.6978306444959,3834.8880363037415
2017-01-09 17:24:30,-2829889.060965011,11178098.026542129,8732005.67914336,2257.2141375703663,-872.8751550188941,3794.4590176179067
2017-01-09 17:25:00,-2762026.814301298,11151331.602987288,8845232.902109008,2266.8756375371686,-911.4541827625732,3754.021667582697
2017-01-09 17:25:30,-2693880.078015643,11123416.643107086,8957246.94565742,2276.181498228252,-949.4461675537141,3713.5811712390655
2017-01-09 17:26:00,-2625459.3984368425,11094370.587945472,9068047.78535114,2285.139774238243,-986.8621307035438,3673.1423779104443
2017-01-09 17:26:30,-2556775.0850568973,11064210.55482031,9177635.540075006,2293.7582804978615,-1023.7128588687893,3632.7098181341466
